Spec Name,Km,K1,K2,K3,L,F,P,Pj,T,dK1geo,iK1geo,dK2geo,iK2geo,dK3geo,iK3geo,dK1pa1,iK1pa1,dK2pa1,iK2pa1,dK3pa1,iK3pa1,dK1te1,iK1te1,dK2te1,iK2te1,dK3te1,iK3te1,f1,dF1-B,iF1-B,dL1-B,iL1-B
NHX-04-02A,2.76E-03,2.82E-03,2.79E-03,2.67E-03,1.008,1.047,1.055,1.06,0.714,226.7,23.9,328.5,24.8,98.6,54.4,236.9,12.7,146,4.3,37.6,76.6,326.9,12.7,236,4.3,127.6,76.6,13.4,302,32,0,0
NHX-04-03A,3.44E-03,3.55E-03,3.50E-03,3.27E-03,1.015,1.07,1.086,1.092,0.642,221.1,19,320.7,26.1,99.4,56.8,229.7,11.3,138.8,4.4,27.8,77.8,319.7,11.3,228.8,4.4,117.8,77.8,12.2,302,32,0,0
NHX-04-03B,3.38E-03,3.50E-03,3.45E-03,3.21E-03,1.014,1.075,1.09,1.097,0.681,226.4,24.9,329.5,26.1,99.2,52.5,237.2,13.7,146.5,2.8,45.3,76,327.2,13.7,236.5,2.8,135.3,76,14,302,32,0,0
NHX-05-01A,2.83E-03,2.87E-03,2.85E-03,2.77E-03,1.007,1.03,1.037,1.04,0.625,204.4,3.1,113.8,11.2,309.5,78.4,205.1,14.3,111.2,14.8,337.3,69.2,295.1,14.3,201.2,14.8,67.3,69.2,20.8,5,12,0,0
NHX-05-02A,2.90E-03,2.95E-03,2.93E-03,2.82E-03,1.007,1.039,1.046,1.049,0.691,9.8,14.8,100.3,1.6,196.5,75.1,9.7,2.8,99.8,2.7,233.6,86.1,99.7,2.8,189.8,2.7,323.6,86.1,3.9,5,12,0,0
NHX-05-03A,3.57E-03,3.61E-03,3.59E-03,3.52E-03,1.007,1.02,1.027,1.028,0.49,1.9,10.6,94,11,229.1,74.6,181.9,1.4,91.7,10.6,279.4,79.3,271.9,1.4,181.7,10.6,9.4,79.3,10.7,5,12,0,0
NHX-05-04A,3.08E-03,3.12E-03,3.10E-03,3.02E-03,1.007,1.028,1.035,1.037,0.584,18.7,11.7,109.8,5.2,223.1,77.1,18.4,0.1,108.4,8.1,288,81.9,108.4,0.1,198.4,8.1,18,81.9,8.1,5,12,0,0
NHX-06-02A,4.37E-03,4.39E-03,4.38E-03,4.33E-03,1.002,1.013,1.015,1.017,0.704,46.2,9.9,299.3,58.9,141.8,29.1,225.2,7.6,317,13.2,106,74.7,315.2,7.6,47,13.2,196,74.7,15.3,335,50,0,0
NHX-07-01A,2.70E-03,2.75E-03,2.70E-03,2.64E-03,1.017,1.023,1.04,1.04,0.137,225.9,5.9,323.9,53.4,131.6,36,220.1,14.9,21.5,74.3,128.8,4.8,310.1,14.9,111.5,74.3,218.8,4.8,85.2,117,32,0,0
NHX-07-02A,2.74E-03,2.78E-03,2.75E-03,2.68E-03,1.012,1.027,1.039,1.04,0.362,227.1,2.4,320.2,51.8,135.3,38.1,223,12.6,11.8,75.4,131.4,7.3,313,12.6,101.8,75.4,221.4,7.3,82.7,117,32,0,0
NHX-07-03A,2.74E-03,2.79E-03,2.74E-03,2.68E-03,1.016,1.023,1.039,1.039,0.188,43.7,0.5,313,51.3,134.1,38.7,221.5,8.3,358,78.6,130.4,7.7,311.5,8.3,88,78.6,220.4,7.7,82.3,117,32,0,0
NHX-07-03B,2.74E-03,2.79E-03,2.75E-03,2.68E-03,1.016,1.026,1.042,1.042,0.223,224.4,5.7,323,56.3,130.6,33.1,218.8,14,31.2,75.9,128.4,1.8,308.8,14,121.2,75.9,218.4,1.8,88.2,117,32,0,0
NHX-08-01A,3.11E-03,3.16E-03,3.12E-03,3.06E-03,1.013,1.019,1.032,1.032,0.174,43.1,8.8,311.6,9.5,175.2,77,222.6,2.6,132.6,0.2,38,87.4,312.6,2.6,222.6,0.2,128,87.4,2.6,2,15,0,0
NHX-08-02A,3.05E-03,3.10E-03,3.05E-03,2.99E-03,1.014,1.021,1.035,1.036,0.206,42,12,310.1,9.2,183.5,74.8,41,0.4,131,0.2,243.1,89.6,131,0.4,221,0.2,333.1,89.6,0.4,2,15,0,0
NHX-09-01A,3.39E-03,3.50E-03,3.41E-03,3.25E-03,1.025,1.05,1.076,1.078,0.33,32.2,3.3,123.4,20,293.2,69.7,37.1,12.9,304,13.6,168.9,71.1,127.1,12.9,34,13.6,258.9,71.1,18.9,140,35,0,0
NHX-09-02A,3.20E-03,3.32E-03,3.19E-03,3.08E-03,1.039,1.037,1.077,1.077,-0.02,33.6,7.5,124.3,5.1,248.2,80.9,40.8,15.6,302.1,28.5,156,56.9,130.8,15.6,32.1,28.5,246,56.9,33.1,140,35,0,0
NHX-10-01A,2.23E-03,2.30E-03,2.26E-03,2.15E-03,1.018,1.053,1.072,1.075,0.476,251.4,0.5,161.1,39.2,342,50.8,247.6,12.5,156.2,5.9,41.3,76.1,337.6,12.5,246.2,5.9,131.3,76.1,13.9,140,35,0,0
NHX-10-02A,2.15E-03,2.21E-03,2.18E-03,2.06E-03,1.016,1.057,1.073,1.077,0.565,79.8,0.4,170.2,39.5,349.3,50.5,255.4,16.2,163.1,8,47.8,71.9,345.4,16.2,253.1,8,137.8,71.9,18.1,140,35,0,0
NHX-10-02B,2.52E-03,2.60E-03,2.55E-03,2.40E-03,1.02,1.061,1.082,1.085,0.508,252.1,4.6,158.8,35.7,348.5,53.9,245.8,16.4,155.2,2.2,57.9,73.5,335.8,16.4,245.2,2.2,147.9,73.5,16.5,140,35,0,0
NHX-11-01A,2.94E-03,3.04E-03,2.98E-03,2.81E-03,1.021,1.058,1.08,1.083,0.458,229.9,1.2,139.1,35.8,321.5,54.2,228.3,3.8,318.3,0.2,50.8,86.2,318.3,3.8,48.3,0.2,140.8,86.2,3.8,135,36,0,0
NHX-11-02A,2.88E-03,2.97E-03,2.92E-03,2.75E-03,1.019,1.059,1.08,1.083,0.506,232.7,39.2,330.6,9.6,72,49.2,204.5,34.9,336.6,43.9,94.6,26,294.5,34.9,66.6,43.9,184.6,26,64,135,36,0,0
NHX-12-01A,2.47E-03,2.51E-03,2.46E-03,2.43E-03,1.024,1.012,1.037,1.037,-0.333,158.5,67.2,297.3,17.6,31.8,14.1,21.1,75.6,121.2,2.6,211.9,14.2,111.1,75.6,211.2,2.6,301.9,14.2,75.8,355,35,0,0
NHX-12-02A,2.46E-03,2.50E-03,2.45E-03,2.42E-03,1.018,1.014,1.032,1.032,-0.145,157.4,74.6,305,13.1,36.9,8,8,69.2,125.8,10,219.1,18,98,69.2,215.8,10,309.1,18,72,355,35,0,0
NHX-13-01A,3.28E-03,3.46E-03,3.37E-03,3.00E-03,1.027,1.123,1.153,1.164,0.625,240.6,38.2,49.8,51.3,146.4,5.3,273.5,3.1,3.8,6.1,156.9,83.1,3.5,3.1,93.8,6.1,246.9,83.1,6.9,325,78,0,0
NHX-13-02A,4.75E-03,4.92E-03,4.78E-03,4.54E-03,1.029,1.053,1.084,1.085,0.292,243.4,42.6,52.4,46.9,148.3,5.5,278.2,2,8.5,6.9,172,82.8,8.2,2,98.5,6.9,262,82.8,7.2,325,78,0,0
NHX-13-03A,3.20E-03,3.37E-03,3.31E-03,2.93E-03,1.018,1.129,1.15,1.164,0.743,238,41.7,45.9,47.7,142.6,6.1,276.4,5.7,6.7,2.9,123.1,83.6,6.4,5.7,96.7,2.9,213.1,83.6,6.4,325,78,0,0
NHX-13-03B,3.08E-03,3.25E-03,3.18E-03,2.81E-03,1.023,1.13,1.156,1.169,0.684,237,49.4,49.1,40.3,142.4,3.9,284,7.8,14.5,3.3,127.3,81.5,14,7.8,104.5,3.3,217.3,81.5,8.5,325,78,0,0
NHX-14-01A,3.27E-03,3.42E-03,3.24E-03,3.14E-03,1.058,1.031,1.09,1.092,-0.298,221.1,59.4,113.4,10.2,17.8,28.5,17,79.9,109.6,0.5,199.7,10.1,107,79.9,199.6,0.5,289.7,10.1,79.9,35,40,0,0
NHX-14-02A,3.34E-03,3.49E-03,3.31E-03,3.21E-03,1.054,1.029,1.085,1.086,-0.295,223.4,54.8,110.5,15.3,11.1,30.8,351.7,83,104.2,2.7,194.5,6.5,81.7,83,194.2,2.7,284.5,6.5,83.5,35,40,0,0
NHX-14-03A,3.97E-03,4.14E-03,3.95E-03,3.83E-03,1.048,1.031,1.081,1.081,-0.22,221,59.3,107.1,13.5,10.1,26.9,17.1,80,282.7,0.8,192.6,9.9,107.1,80,12.7,0.8,282.6,9.9,80.1,35,40,0,0
NHX-15-01A,2.02E-03,2.09E-03,1.99E-03,1.97E-03,1.053,1.011,1.064,1.069,-0.661,221.9,31,74.2,54.6,321.4,15.4,248.6,49.3,40.7,37.3,141.7,14.1,338.6,49.3,130.7,37.3,231.7,14.1,75.9,355,35,0,0
NHX-15-02A,2.10E-03,2.17E-03,2.07E-03,2.06E-03,1.048,1.008,1.057,1.061,-0.697,227.7,34.9,96.3,43.4,338.1,26.5,258.2,48.9,63.7,40.2,159.8,7.2,348.2,48.9,153.7,40.2,249.8,7.2,82.8,355,35,0,0
NHX-15-03A,2.43E-03,2.53E-03,2.39E-03,2.37E-03,1.059,1.007,1.067,1.073,-0.776,225.7,29.8,15.7,56.5,127.5,13.8,251.2,46.3,7.2,22.8,114.2,34.9,341.2,46.3,97.2,22.8,204.2,34.9,55.1,355,35,0,0
NHX-16-01A,1.33E-03,1.36E-03,1.35E-03,1.30E-03,1.005,1.039,1.044,1.048,0.748,23.4,27.3,273.2,33.7,143.2,44,192.7,3.6,102.2,8.6,305.4,80.7,282.7,3.6,192.2,8.6,35.4,80.7,9.3,320,55,0,0
NHX-16-01B,1.44E-03,1.46E-03,1.45E-03,1.40E-03,1.008,1.038,1.046,1.049,0.649,26.9,14.2,286.1,36.6,134.3,49.9,204.8,9.9,112.8,11.8,333.8,74.5,294.8,9.9,202.8,11.8,63.8,74.5,15.5,320,55,0,0
NHX-17-01A,2.52E-03,2.63E-03,2.51E-03,2.42E-03,1.048,1.036,1.086,1.086,-0.149,220.3,22.2,335.7,46.4,113.5,35.3,45.4,4.1,313.9,20.5,146.2,69,135.4,4.1,43.9,20.5,236.2,69,21,273,40,0,0
NHX-17-02A,3.03E-03,3.17E-03,3.01E-03,2.91E-03,1.054,1.034,1.09,1.09,-0.225,208.7,24.4,57.3,62.6,304,11.6,217.7,3.6,316.3,67,126.2,22.7,307.7,3.6,46.3,67,216.2,22.7,67.3,273,40,0,0
NHX-17-03A,3.45E-03,3.66E-03,3.44E-03,3.25E-03,1.064,1.059,1.127,1.127,-0.035,211,25.5,50.6,63.1,304.7,7.9,220,3.3,316.8,63.9,128.4,25.9,310,3.3,46.8,63.9,218.4,25.9,64.1,273,40,0,0
NHX-18-01A,4.35E-03,4.54E-03,4.38E-03,4.13E-03,1.035,1.061,1.098,1.1,0.263,216.6,23,115.1,25.2,343.3,54.7,33.3,0.1,123.3,11.3,302.6,78.7,123.3,0.1,213.3,11.3,32.6,78.7,11.3,180,28,0,0
NHX-18-02A,4.14E-03,4.31E-03,4.16E-03,3.96E-03,1.035,1.052,1.089,1.09,0.19,207.5,27,102.9,26.2,336,50.7,204.3,1.7,113.8,17.2,299.7,72.7,294.3,1.7,203.8,17.2,29.7,72.7,17.3,180,28,0,0
NHX-18-03A,3.77E-03,3.89E-03,3.78E-03,3.62E-03,1.03,1.045,1.076,1.076,0.199,208.7,26.3,112.9,11.6,1.3,60.9,205.5,1.3,295.5,0.1,29.7,88.7,295.5,1.3,25.5,0.1,119.7,88.7,1.3,180,28,0,0
NHX-18-04A,4.09E-03,4.26E-03,4.11E-03,3.90E-03,1.036,1.054,1.092,1.093,0.202,210.5,29.9,105.5,24.3,343.2,49.8,206.2,5.1,114.9,14.4,315.1,74.7,296.2,5.1,204.9,14.4,45.1,74.7,15.3,180,28,0,0
NHX-19-01A,2.15E-03,2.25E-03,2.18E-03,2.01E-03,1.03,1.082,1.115,1.119,0.456,212.6,13.5,111.8,37.9,318.5,48.9,208.9,6.1,116.9,18,317,70.9,298.9,6.1,206.9,18,47,70.9,19.1,140,22,0,0
NHX-19-01B,2.01E-03,2.10E-03,2.03E-03,1.91E-03,1.035,1.063,1.099,1.101,0.28,210.4,16.6,106.4,39,318.6,46.3,205.8,8.3,112.8,19.9,317.4,68.3,295.8,8.3,202.8,19.9,47.4,68.3,21.7,140,22,0,0
NHX-19-02A,1.84E-03,1.92E-03,1.87E-03,1.73E-03,1.031,1.08,1.114,1.118,0.437,213.4,12.9,113.1,37.8,318.8,49.3,209.9,5.9,118,17.7,317.6,71.3,299.9,5.9,208,17.7,47.6,71.3,18.7,140,22,0,0
NHX-19-02B,2.00E-03,2.10E-03,2.03E-03,1.87E-03,1.034,1.083,1.12,1.124,0.406,209.8,19.4,104.8,36.4,322.2,47.1,204.3,10.8,110.8,17.7,324.1,69.1,294.3,10.8,200.8,17.7,54.1,69.1,20.9,140,22,0,0
NHX-19-03A,2.04E-03,2.13E-03,2.06E-03,1.93E-03,1.031,1.068,1.102,1.104,0.363,216.6,11.1,117.6,38.7,319.7,49.1,213.5,5.3,121.8,18.1,319.3,71.1,303.5,5.3,211.8,18.1,49.3,71.1,18.9,140,22,0,0
NHX-20-01A,3.78E-04,3.87E-04,3.82E-04,3.65E-04,1.015,1.045,1.06,1.062,0.496,172.1,26.3,73.3,17.2,313.8,57.8,168.4,0.2,78.4,3.9,261.4,86.1,258.4,0.2,168.4,3.9,351.4,86.1,3.9,140,30,0,0
NHX-20-01B,3.78E-04,3.87E-04,3.82E-04,3.66E-04,1.014,1.043,1.058,1.06,0.505,175.9,28,77.8,14.8,323.1,57.7,171.3,2.8,261.3,0.2,356,87.2,261.3,2.8,351.3,0.2,86,87.2,2.8,140,30,0,0
NHX-20-01C,3.65E-04,3.75E-04,3.68E-04,3.53E-04,1.018,1.044,1.063,1.064,0.413,170.2,28.4,73.1,12.8,321.5,58.3,166.3,1.8,76.3,0,345.4,88.2,256.3,1.8,166.3,0,75.4,88.2,1.8,140,30,0,0
NHX-20-02A,3.73E-04,3.83E-04,3.78E-04,3.59E-04,1.014,1.052,1.066,1.07,0.566,163.6,25.6,64.2,18.9,301.9,57.3,341.2,2.2,71.6,9.5,238,80.2,71.2,2.2,161.6,9.5,328,80.2,9.8,140,30,0,0
NHX-20-02B,3.93E-04,4.04E-04,3.97E-04,3.79E-04,1.016,1.049,1.066,1.069,0.51,168.6,26.1,68.6,19.4,306.4,56.6,345.4,0.8,75.5,7.9,249.8,82.1,75.4,0.8,165.5,7.9,339.8,82.1,7.9,140,30,0,0
NHX-21-01A,2.62E-03,2.74E-03,2.59E-03,2.52E-03,1.057,1.031,1.09,1.091,-0.286,240.1,0.5,330.2,15.8,148.2,74.2,238.5,5.5,334,45.2,143.1,44.3,328.5,5.5,64,45.2,233.1,44.3,45.7,140,30,0,0
NHX-21-02A,2.73E-03,2.86E-03,2.72E-03,2.62E-03,1.05,1.04,1.092,1.092,-0.105,60.4,2.1,329.9,14.2,158.5,75.6,240.1,3.4,333.3,43.6,146.5,46.2,330.1,3.4,63.3,43.6,236.5,46.2,43.8,140,30,0,0
NHX-21-02B,2.57E-03,2.69E-03,2.56E-03,2.47E-03,1.05,1.039,1.091,1.091,-0.126,242.9,0.1,332.9,15.7,152.5,74.3,241.2,6.5,337.6,44.7,144.7,44.6,331.2,6.5,67.6,44.7,234.7,44.6,45.4,140,30,0,0
NHX-21-03A,3.14E-03,3.28E-03,3.13E-03,3.01E-03,1.05,1.038,1.09,1.09,-0.143,239.9,6.7,332,17.3,129.4,71.4,235.2,10.8,336.7,46.4,135.5,41.6,325.2,10.8,66.7,46.4,225.5,41.6,48.4,140,30,0,0
NHX-21-03B,2.78E-03,2.91E-03,2.76E-03,2.67E-03,1.051,1.037,1.09,1.09,-0.164,242.8,6,334.5,15.8,132.7,73.1,238.1,11.5,339.7,44.5,137.1,43.2,328.1,11.5,69.7,44.5,227.1,43.2,46.8,140,30,0,0
NHX-22-01A,2.65E-03,2.75E-03,2.74E-03,2.48E-03,1.003,1.104,1.107,1.123,0.933,224.8,0.2,134.7,11.8,315.6,78.2,45.4,2.5,314.6,18.1,142.9,71.7,135.4,2.5,44.6,18.1,232.9,71.7,18.3,140,30,0,0
NHX-22-01B,2.65E-03,2.74E-03,2.73E-03,2.48E-03,1.004,1.1,1.105,1.12,0.916,193.1,4.7,102.1,11.4,305,77.7,14.9,13.2,282,12.5,150.2,71.7,104.9,13.2,12,12.5,240.2,71.7,18.3,140,30,0,0
NHX-22-01C,2.59E-03,2.68E-03,2.66E-03,2.43E-03,1.009,1.095,1.105,1.117,0.818,166.3,13.7,73.6,10.9,306.4,72.3,346.2,13.3,255.8,1.9,157.9,76.6,76.2,13.3,345.8,1.9,247.9,76.6,13.4,140,30,0,0
NXH23-A,1.95E-03,1.98E-03,1.96E-03,1.92E-03,1.01,1.018,1.029,1.029,0.27,208.4,27.7,38.3,62,300.5,4.1,27.8,26.9,126.5,16.7,244.8,57.6,117.8,26.9,216.5,16.7,334.8,57.6,32.4,153,84,0,0
NXH23-B,2.07E-03,2.10E-03,2.08E-03,2.04E-03,1.008,1.018,1.026,1.026,0.373,209.4,34.9,37.1,54.9,301.9,3.6,21,23.1,119.7,19.6,245.9,58.9,111,23.1,209.7,19.6,335.9,58.9,31.1,153,84,0,0
NXH23-C,1.66E-03,1.67E-03,1.66E-03,1.63E-03,1.005,1.018,1.024,1.025,0.571,207.3,28.7,58.4,57.4,305.3,14.1,26.3,27.3,120.2,7.5,224.3,61.5,116.3,27.3,210.2,7.5,314.3,61.5,28.5,153,84,0,0
NXH23-D,2.11E-03,2.13E-03,2.11E-03,2.08E-03,1.008,1.017,1.025,1.026,0.385,210,30.1,58.3,56.6,307.7,13,26,24.6,119.4,7.6,225.3,64.1,116,24.6,209.4,7.6,315.3,64.1,25.9,153,84,0,0
NXH24-A,1.68E-03,1.70E-03,1.69E-03,1.66E-03,1.006,1.017,1.024,1.024,0.456,227.7,20.3,85.2,65,322.9,14,40.7,12.2,309.9,3.7,203.4,77.3,130.7,12.2,39.9,3.7,293.4,77.3,12.7,153,84,0,0
NXH24-B,1.62E-03,1.63E-03,1.62E-03,1.60E-03,1.005,1.009,1.014,1.014,0.303,57.7,0.8,163.2,87.2,327.6,2.7,63.2,5.4,153.5,3.2,274.2,83.7,153.2,5.4,243.5,3.2,4.2,83.7,6.3,153,84,0,0
NXH24-C,1.89E-03,1.91E-03,1.90E-03,1.87E-03,1.008,1.015,1.023,1.023,0.289,230.7,25.7,75.5,62.1,325.7,10.2,35.8,8.4,305.8,0.5,212.4,81.6,125.8,8.4,35.8,0.5,302.4,81.6,8.4,153,84,0,0
NXH24-D,1.65E-03,1.66E-03,1.66E-03,1.64E-03,1.005,1.012,1.017,1.017,0.416,229.5,9.1,54,80.9,319.6,0.7,52.3,12.3,143.9,7.4,264,75.6,142.3,12.3,233.9,7.4,354,75.6,14.4,153,84,0,0
NXH24-E,1.81E-03,1.83E-03,1.82E-03,1.79E-03,1.005,1.016,1.021,1.022,0.534,231.4,25.2,69.5,63.7,324.8,7.2,36.5,7.9,126.8,2.5,234.4,81.8,126.5,7.9,216.8,2.5,324.4,81.8,8.2,153,84,0,0
NXH24-F,1.72E-03,1.73E-03,1.72E-03,1.70E-03,1.005,1.014,1.019,1.02,0.492,236.9,23.9,61.2,66.1,327.6,1.6,38.6,3.1,128.9,6.2,282.3,83,128.6,3.1,218.9,6.2,12.3,83,7,153,84,0,0
NXH24-G,1.85E-03,1.86E-03,1.85E-03,1.83E-03,1.007,1.014,1.021,1.021,0.356,232.3,27.4,57.4,62.5,323.4,2.1,34.4,6.6,125.3,7.9,264.9,79.7,124.4,6.6,215.3,7.9,354.9,79.7,10.3,153,84,0,0
NXH24-H,1.69E-03,1.71E-03,1.69E-03,1.68E-03,1.007,1.01,1.017,1.017,0.158,229.1,15.1,90,70.3,322.4,12.3,46.2,11.8,315.5,3.1,211.2,77.8,136.2,11.8,45.5,3.1,301.2,77.8,12.2,153,84,0,0
NXH25-A,1.42E-03,1.43E-03,1.42E-03,1.42E-03,1.006,1.001,1.007,1.007,-0.649,241.4,35,19.4,46.7,134.9,22.1,208.1,2.1,116.7,33.1,301.3,56.8,298.1,2.1,206.7,33.1,31.3,56.8,33.2,153,84,0,0
NXH25-B,1.31E-03,1.31E-03,1.31E-03,1.30E-03,1.006,1.004,1.009,1.009,-0.204,232.6,43.7,66.2,45.5,329.2,6.9,18.4,3.3,108.6,2,229.9,86.1,108.4,3.3,198.6,2,319.9,86.1,3.9,153,84,0,0
NXH25-C,1.43E-03,1.44E-03,1.43E-03,1.43E-03,1.005,1.005,1.009,1.009,0.02,219.9,38.7,62.1,49.2,318.9,11.1,20.7,13.9,112,5.1,221.8,75.2,110.7,13.9,202,5.1,311.8,75.2,14.8,153,84,0,0
NXH25-D,1.25E-03,1.26E-03,1.25E-03,1.24E-03,1.006,1.005,1.011,1.011,-0.15,208.1,27.1,80,50.3,312.9,26.6,28.2,27.3,295.1,6,193.7,61.9,118.2,27.3,25.1,6,283.7,61.9,28.1,153,84,0,0
NXH25-E,1.48E-03,1.49E-03,1.48E-03,1.48E-03,1.002,1.004,1.006,1.006,0.296,229.8,60.7,38.2,28.8,130.9,4.9,1.5,1.2,92,24.6,268.9,65.4,91.5,1.2,182,24.6,358.9,65.4,24.6,153,84,0,0
NXH25-F,1.28E-03,1.28E-03,1.27E-03,1.27E-03,1.007,1.003,1.01,1.01,-0.488,229,12.1,14.8,75.4,137.3,8,49.2,12.3,142.9,16.7,284.5,69,139.2,12.3,232.9,16.7,14.5,69,21,153,84,0,0
NXH26-A,2.75E-03,2.76E-03,2.75E-03,2.73E-03,1.005,1.005,1.01,1.01,0.023,32.4,39.4,211.3,50.6,302,0.5,40.1,79.2,210.9,10.6,301.2,1.7,130.1,79.2,300.9,10.6,31.2,1.7,88.3,210,40,0,0
NXH27-A,1.91E-03,1.92E-03,1.91E-03,1.89E-03,1.006,1.009,1.015,1.015,0.244,224.9,42,350.2,32.6,102.6,30.7,221.1,2.9,315.4,56,129.1,33.9,311.1,2.9,45.4,56,219.1,33.9,56.1,210,40,0,0
NXH28-A,1.44E-03,1.45E-03,1.44E-03,1.42E-03,1.003,1.016,1.019,1.02,0.687,332.1,42.8,219.6,22.5,110.2,38.8,287.5,50.5,39.3,17,141.4,34.4,17.5,50.5,129.3,17,231.4,34.4,55.6,210,40,0,0
NXH28-B,1.47E-03,1.47E-03,1.47E-03,1.45E-03,1.004,1.01,1.015,1.015,0.422,216.5,14,317.7,37.7,109.9,48.9,37,25.7,284.5,38.5,151.4,40.6,127,25.7,14.5,38.5,241.4,40.6,49.4,210,40,0,0
NXH28-C,1.51E-03,1.52E-03,1.52E-03,1.49E-03,1.001,1.015,1.016,1.018,0.836,214.1,16.8,323.1,47.2,110.5,37.9,34.2,23.1,276.8,47.2,140.8,33.7,124.2,23.1,6.8,47.2,230.8,33.7,56.3,210,40,0,0
NXH28-D,1.59E-03,1.60E-03,1.60E-03,1.58E-03,1,1.016,1.016,1.018,0.956,191.7,13,294.1,42.9,88.8,44.2,10.3,25,265.8,28.2,135,50.6,100.3,25,355.8,28.2,225,50.6,39.4,210,40,0,0
NXH29-A,7.45E-04,7.49E-04,7.46E-04,7.38E-04,1.004,1.011,1.015,1.016,0.486,274.2,12.8,178.5,23.7,30.4,62.7,270.8,8.9,179.8,6.3,54.8,79,0.8,8.9,269.8,6.3,144.8,79,11,195,18,0,0
NXH29-B,8.13E-04,8.22E-04,8.15E-04,8.02E-04,1.009,1.016,1.025,1.025,0.298,220.7,8.9,127.8,18.3,335.4,69.5,40.6,7.4,132,10.7,276.5,77,130.6,7.4,222,10.7,6.5,77,13,195,18,0,0
NXH30-A,1.50E-03,1.52E-03,1.51E-03,1.48E-03,1.005,1.019,1.025,1.026,0.587,185,30.5,281.6,11.1,29.3,57.1,7.1,1.6,277,4.8,115.5,85,97.1,1.6,7,4.8,205.5,85,5,200,33,0,0
NXH30-B,1.68E-03,1.69E-03,1.69E-03,1.66E-03,1.004,1.019,1.023,1.024,0.678,232.1,27.7,134.8,13.7,21.2,58.6,48.1,1.1,318.1,1.3,178.1,88.3,138.1,1.1,48.1,1.3,268.1,88.3,1.7,200,33,0,0
NXH31-A,1.37E-03,1.38E-03,1.37E-03,1.36E-03,1.005,1.009,1.014,1.014,0.319,179.8,29.2,277.3,13.2,28.8,57.5,180.6,0.3,270.6,12.1,89.2,77.9,270.6,0.3,0.6,12.1,179.2,77.9,12.1,186,29,0,0
NXH31-B,1.24E-03,1.25E-03,1.25E-03,1.24E-03,1.003,1.007,1.01,1.01,0.41,173.4,35.1,272,11.9,17.8,52.3,175.7,6.7,266.7,8.5,47.9,79.2,265.7,6.7,356.7,8.5,137.9,79.2,10.8,186,29,0,0
NXH32-A,1.71E-03,1.73E-03,1.72E-03,1.69E-03,1.005,1.019,1.024,1.025,0.608,175.8,22.8,273,16.7,36.1,61.2,358.2,7.8,268.1,0.7,173,82.2,88.2,7.8,358.1,0.7,263,82.2,7.8,207,35,0,0
NXH32-B,1.68E-03,1.70E-03,1.69E-03,1.65E-03,1.002,1.029,1.032,1.035,0.869,185.9,28.1,278.6,5,17.9,61.3,8.4,4.9,99,6.2,240.2,82.1,98.4,4.9,189,6.2,330.2,82.1,7.9,207,35,0,0
NXH32-C,1.57E-03,1.58E-03,1.58E-03,1.55E-03,1.003,1.021,1.024,1.026,0.749,174.8,30.9,270.4,9.2,15.1,57.4,179.8,0.3,89.8,7,272,83,269.8,0.3,179.8,7,2,83,7,207,35,0,0
NXH33-A,1.19E-03,1.20E-03,1.19E-03,1.19E-03,1.008,1.001,1.009,1.01,-0.797,216.8,19.6,99.3,52.5,319,30.6,36.6,15,144.6,49.1,295,37,126.6,15,234.6,49.1,25,37,53,207,35,0,0
NXH33-B,1.18E-03,1.19E-03,1.18E-03,1.18E-03,1.007,1.003,1.009,1.01,-0.421,236.9,27.6,20.6,57,137.9,16.6,53.3,3.5,265.4,85.9,143.4,2.2,143.3,3.5,355.4,85.9,233.4,2.2,87.8,207,35,0,0
NXH34-A,1.99E-03,2.00E-03,1.99E-03,1.97E-03,1.001,1.014,1.015,1.016,0.85,216.7,28,106.1,33.5,337,43.6,28.1,7.4,297.4,4.9,174,81.1,118.1,7.4,27.4,4.9,264,81.1,8.9,160,55,0,0
NXH34-B,1.77E-03,1.78E-03,1.77E-03,1.75E-03,1.002,1.012,1.014,1.015,0.685,87.4,19.4,196.2,42.5,339.4,41.2,275.8,2.3,6,5.8,164.2,83.8,5.8,2.3,96,5.8,254.2,83.8,6.2,160,55,0,0
NXH34-C,1.86E-03,1.87E-03,1.87E-03,1.85E-03,1.002,1.012,1.014,1.015,0.738,105.1,40,220.1,26.7,333.5,38.3,121.2,0.4,31.2,6.1,215.3,83.8,211.2,0.4,121.2,6.1,305.3,83.8,6.2,160,55,0,0
NXH35-A,2.00E-03,2.01E-03,2.00E-03,1.98E-03,1.002,1.014,1.016,1.017,0.765,99.5,12.5,204.7,49.9,359.8,37.4,283.5,4.7,13.6,2.1,127.5,84.8,13.5,4.7,103.6,2.1,217.5,84.8,5.2,175,56,0,0
NXH35-B,1.98E-03,1.99E-03,1.98E-03,1.96E-03,1.002,1.012,1.014,1.015,0.71,107.9,24.1,227.1,47.5,1.3,32.5,297.5,3.8,207.3,3.9,71.3,84.5,27.5,3.8,297.3,3.9,161.3,84.5,5.5,175,56,0,0
NXH35-C,1.84E-03,1.85E-03,1.84E-03,1.82E-03,1.003,1.015,1.018,1.02,0.664,111.4,31.9,228.9,36.5,353.1,37.3,305.5,1,35.6,3.5,199.3,86.4,35.5,1,125.6,3.5,289.3,86.4,3.6,175,56,0,0
