Spec Name,Km,K1,K2,K3,L,F,P,Pj,T,dK1geo,iK1geo,dK2geo,iK2geo,dK3geo,iK3geo,dK1pa1,iK1pa1,dK2pa1,iK2pa1,dK3pa1,iK3pa1,dK1te1,iK1te1,dK2te1,iK2te1,dK3te1,iK3te1,f1,dF1-B,iF1-B,dL1-B,iL1-B
NXH138-B,1.61E-04,1.61E-04,1.61E-04,1.60E-04,1.002,1.002,1.004,1.004,-0.022,16.2,15.5,249,65.3,111.6,18.7,195.5,12.1,298.2,45.9,94.5,41.6,285.5,12.1,28.2,45.9,184.5,41.6,48.4,335,36,0,0
NXH138-C,1.42E-04,1.43E-04,1.42E-04,1.42E-04,1.003,1.003,1.006,1.006,-0.07,28.4,8.5,295.3,20.2,140,68,209.6,13.1,117.7,8.4,356,74.3,299.6,13.1,207.7,8.4,86,74.3,15.7,335,36,0,0
NXH139-A,2.07E-04,2.07E-04,2.07E-04,2.07E-04,1.004,1.001,1.004,1.005,-0.754,206.8,25.4,317.1,36.1,90.4,43.2,222.7,37.6,319.5,8.7,60.4,51,312.7,37.6,49.5,8.7,150.4,51,39,330,28,0,0
NXH139-B,2.62E-04,2.64E-04,2.61E-04,2.60E-04,1.012,1.003,1.015,1.016,-0.64,211.3,51.3,120.8,0.4,30.5,38.7,250.4,56.1,117.5,24.6,17,21.8,340.4,56.1,207.5,24.6,107,21.8,68.2,330,28,0,0
NXH140-A,1.08E-04,1.09E-04,1.08E-04,1.08E-04,1.002,1.007,1.009,1.009,0.454,79.2,55.4,195.7,17.1,295.5,29,37.5,54.6,206.6,34.9,300.2,5.2,127.5,54.6,296.6,34.9,30.2,5.2,84.8,330,28,0,0
NXH140-B,1.02E-04,1.02E-04,1.02E-04,1.02E-04,1.001,1.004,1.005,1.006,0.599,73.8,40.3,176.6,14.6,282.2,46,49.1,41.1,183.9,39,295.6,24.6,139.1,41.1,273.9,39,25.6,24.6,65.4,330,28,0,0
NXH141-A,1.83E-04,1.85E-04,1.83E-04,1.82E-04,1.012,1.002,1.015,1.016,-0.675,287.3,54.3,59.5,25.8,161.3,22.9,120.2,70.4,245.2,11.6,338.5,15.6,210.2,70.4,335.2,11.6,68.5,15.6,74.4,112,55,0,0
NXH141-B,2.19E-04,2.23E-04,2.18E-04,2.17E-04,1.025,1.003,1.027,1.03,-0.805,295.8,38.9,44.8,22,157,43,75,85,233,4.6,323.1,1.9,165,85,323,4.6,53.1,1.9,88.1,112,55,0,0
NXH141-C,1.84E-04,1.87E-04,1.83E-04,1.82E-04,1.022,1.002,1.024,1.026,-0.856,298.5,41.6,106.5,47.7,203.2,6,76.5,81.6,288.3,7.1,197.8,4.4,166.5,81.6,18.3,7.1,287.8,4.4,85.6,112,55,0,0
NXH141-D,1.97E-04,1.99E-04,1.96E-04,1.96E-04,1.014,1.003,1.018,1.019,-0.646,292.9,51.4,83,34.7,183.5,14.9,110,73.6,267.6,15.2,359.2,6,200,73.6,357.6,15.2,89.2,6,84,112,55,0,0
NXH142-A,2.16E-04,2.21E-04,2.14E-04,2.14E-04,1.028,1.001,1.029,1.033,-0.916,281.2,47.8,158.5,26.1,51.7,30.5,140.9,74.9,334.3,14.7,243.4,3.3,230.9,74.9,64.3,14.7,333.4,3.3,86.7,112,55,0,0
NXH142-B,1.95E-04,1.99E-04,1.94E-04,1.94E-04,1.026,1.001,1.028,1.031,-0.9,282.5,44.6,124.2,43.3,23.6,11.1,146.3,78,301,10.9,32,5,236.3,78,31,10.9,122,5,85,112,55,0,0
NXH142-C,2.29E-04,2.33E-04,2.26E-04,2.26E-04,1.03,1.001,1.031,1.036,-0.945,283.4,41.4,193.3,0.1,103.3,48.6,156.1,80.7,16.9,7.1,286.2,6,246.1,80.7,106.9,7.1,16.2,6,84,112,55,0,0
NXH142-D,2.82E-04,2.88E-04,2.79E-04,2.78E-04,1.033,1.002,1.034,1.039,-0.901,284.1,39.8,185.8,9.9,84.4,48.5,162.3,82.1,4.4,7.3,274.1,2.9,252.3,82.1,94.4,7.3,4.1,2.9,87.1,112,55,0,0
NXH143-A,9.84E-05,9.89E-05,9.84E-05,9.80E-05,1.005,1.004,1.01,1.01,-0.121,16.8,18.2,131.5,51.9,274.9,32.2,34.3,14.5,303.9,1.4,208.4,75.5,124.3,14.5,33.9,1.4,298.4,75.5,14.5,112,55,0,0
NXH143-B,9.51E-05,9.57E-05,9.52E-05,9.46E-05,1.006,1.006,1.012,1.012,0.034,208.2,7.3,85.5,76.6,299.7,11.1,199.5,9.3,105.6,22.9,310.2,65.1,289.5,9.3,195.6,22.9,40.2,65.1,24.9,112,55,0,0
NXH144-A,1.06E-04,1.06E-04,1.06E-04,1.06E-04,1.002,1.005,1.007,1.007,0.395,16.5,12.5,265.4,58.3,113.4,28.6,29.3,11.6,140.7,60.8,293.4,26.4,119.3,11.6,230.7,60.8,23.4,26.4,63.6,112,55,0,0
NXH144-B,1.63E-04,1.65E-04,1.63E-04,1.62E-04,1.014,1.005,1.02,1.02,-0.454,302.8,44.6,205.7,7.2,108.6,44.5,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH226-A,2.53E-04,2.61E-04,2.59E-04,2.39E-04,1.008,1.082,1.091,1.101,0.818,227.4,19.2,116.3,46,333,37.7,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH226-B,2.52E-04,2.60E-04,2.58E-04,2.37E-04,1.005,1.09,1.095,1.107,0.887,230.9,17.5,121.5,46.5,335.3,38.2,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH226-C,2.57E-04,2.65E-04,2.63E-04,2.42E-04,1.006,1.089,1.095,1.107,0.875,231.1,18.2,118.9,48.9,334.6,35.4,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH226-D,2.63E-04,2.71E-04,2.69E-04,2.48E-04,1.006,1.086,1.092,1.104,0.874,227.9,18.4,115.8,48.6,331.7,35.6,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH227-A,2.28E-04,2.38E-04,2.36E-04,2.10E-04,1.007,1.121,1.129,1.146,0.881,205.6,34.2,84.5,37.2,323.3,34.3,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH227-B,2.45E-04,2.56E-04,2.53E-04,2.27E-04,1.01,1.116,1.127,1.142,0.838,205.4,36.9,79.9,37.7,322.2,31,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
